,1,2,3,4
1969-01-31,0.046680787802478044,0.05098228590974265,0.19410672086129324,0.24296520824035994
1969-02-28,-0.040593624029103555,0.2326140593429556,0.06276742039529,0.10642209537329853
1969-03-31,-0.03011451176728279,-0.3283093906149953,0.0715991146450853,-0.03765411098521397
1969-04-30,0.02098720026857729,0.36132769572989487,-0.006671493649691371,-0.057452537565845535
1969-05-31,0.039890753670369476,0.20889159246146377,0.023083088360902344,0.19971306005927064
1969-06-30,0.04200787555331168,-0.381435635575244,-0.06178850307822949,0.22925663500377969
1969-07-31,0.0,0.0,-0.10657806773916745,0.26108985662626166
1969-08-31,-0.003923118343393005,3.0886530488713673,-0.8235398117670113,0.5238336203604816
1969-09-30,0.7085264555869688,-0.028899365293448335,0.16382717347169223,0.06332553805401209
1969-10-31,-0.023118510652263818,0.0,0.5334975119827494,0.7771784270059029
