,0
1978-03-31,0.16440162184770316
1978-04-30,0.935881816080477
1978-05-31,0.9610835922194074
1978-06-30,0.46807040437818787
1978-07-31,0.6790027019081801
1978-08-31,0.6979467433841073
1978-09-30,0.7503378951526025
1978-10-31,0.5617667038749603
1978-11-30,0.4247866693824449
1978-12-31,0.8888586301513691
1979-01-31,0.9947280657289623
1979-02-28,0.5929540920549756
1979-03-31,0.47048013935483796
1979-04-30,0.6981427065978055
1979-05-31,0.586070264896754
1979-06-30,0.6273750233927424
1979-07-31,1.0126095997201556
1979-08-31,0.6814341014905432
1979-09-30,0.604865066008103
1979-10-31,1.3158589707335278
1979-11-30,0.6974016091895223
1979-12-31,0.6516061435485763
1980-01-31,2.25307471561209
1980-02-29,0.10512214142268632
1980-03-31,0.7087623807241421
