,,0
1964-05-31,r_dur,-0.13704658443826098
1964-05-31,r_valprof,0.10359680742422069
1964-05-31,r_fscore,-0.2943373505176487
1964-05-31,r_debtiss,0.0
1964-05-31,r_repurch,0.0
1964-05-31,r_nissa,-0.0891414847270737
1964-05-31,r_accruals,-0.19634217531166198
1964-05-31,r_growth,-0.15736215876262058
1964-05-31,r_aturnover,0.04667913639873668
1964-05-31,r_gmargins,-0.09364787726168877
1964-05-31,r_divp,0.07403043460845204
1964-05-31,r_ep,-0.004400015931024041
1964-05-31,r_cfp,0.05729897753324258
1964-05-31,r_noa,-0.1033331883720885
1964-05-31,r_inv,-0.12114563858886178
1964-05-31,r_invcap,-0.021771950898186784
1964-05-31,r_igrowth,-0.10512389400403713
1964-05-31,r_sgrowth,-0.10269162051917023
1964-05-31,r_lev,0.0505907953833605
1964-05-31,r_roaa,-0.15238216750991676
1964-05-31,r_roea,-0.15776392245785661
1964-05-31,r_sp,0.1031466765413245
1964-05-31,r_gltnoa,4.89171264853143e-15
1964-05-31,r_divg,-0.0025996676979351666
1964-05-31,r_invaci,0.0
1964-05-31,r_shortint,0.0
1964-05-31,r_lrrev,-0.006957358998767661
1964-05-31,r_valuem,-0.053341489884120886
1964-05-31,r_nissm,0.1591270646731297
1964-05-31,r_sue,0.0
1964-05-31,r_roe,0.0
1964-05-31,r_rome,0.0
1964-05-31,r_roa,0.0
1964-05-31,r_strev,0.10445041805090553
1964-05-31,r_ivol,0.08485829563394288
1964-05-31,r_betaarb,-0.011110300570119117
1964-05-31,r_season,-0.015178070011750935
1964-05-31,r_indrrev,0.0846241577055185
1964-05-31,r_indrrevlv,0.05350724777362577
1964-05-31,r_ciss,-0.09159440448274452
1964-05-31,r_price,-0.004359095281136147
1964-05-31,r_age,-0.07588885966396297
1964-05-31,r_shvol,0.11297712581275798
1964-05-31,r_ipo,0.0
1964-06-30,r_size,0.07300222145983384
1964-06-30,r_value,0.03416882047033322
1964-06-30,r_prof,0.032418164539479384
1964-06-30,r_dur,0.04154325648228118
1964-06-30,r_valprof,0.05227387006957023
1964-06-30,r_fscore,0.16307005322005355
1964-06-30,r_debtiss,0.0
1964-06-30,r_repurch,0.0
1964-06-30,r_nissa,0.16376107948192836
1964-06-30,r_accruals,0.10542939173809186
1964-06-30,r_growth,0.07345842195538026
1964-06-30,r_aturnover,0.12886504347933453
1964-06-30,r_gmargins,-0.1406079741442596
1964-06-30,r_divp,-0.09188097942947104
1964-06-30,r_ep,0.02428944155295495
1964-06-30,r_cfp,0.02017619841764859
1964-06-30,r_noa,-0.1780246209813686
1964-06-30,r_inv,0.05513324549984007
1964-06-30,r_invcap,0.05407113585143759
1964-06-30,r_igrowth,4.138280347462159e-05
1964-06-30,r_sgrowth,-0.004700667363859818
1964-06-30,r_lev,0.05687255164102933
1964-06-30,r_roaa,-0.10293440001595668
1964-06-30,r_roea,-0.06783235960607757
1964-06-30,r_sp,0.14229380651595155
1964-06-30,r_gltnoa,0.0
1964-06-30,r_divg,0.11312265349602008
1964-06-30,r_invaci,0.0
1964-06-30,r_shortint,0.0
1964-06-30,r_lrrev,0.06393473308088303
1964-06-30,r_valuem,0.11047376281202413
1964-06-30,r_nissm,0.11594753886113356
1964-06-30,r_sue,0.0
1964-06-30,r_roe,0.0
1964-06-30,r_rome,0.0
1964-06-30,r_roa,0.0
1964-06-30,r_strev,-0.019285480056669742
1964-06-30,r_ivol,-0.06952167275816917
1964-06-30,r_betaarb,0.013717820341464891
1964-06-30,r_season,-0.013239043240240656
1964-06-30,r_indrrev,-0.07721475212678679
1964-06-30,r_indrrevlv,-0.12132944079506154
1964-06-30,r_ciss,0.022823667841059773
1964-06-30,r_price,-0.05285861805707563
1964-06-30,r_age,0.2537610581068825
1964-06-30,r_shvol,0.0023445200762329007
1964-06-30,r_ipo,0.0
1964-07-31,r_size,0.08924543712190845
1964-07-31,r_value,-0.10801609522017828
1964-07-31,r_prof,-0.08125682787137027
1964-07-31,r_dur,0.07878321244373752
1964-07-31,r_valprof,-0.19764936892337223
1964-07-31,r_fscore,0.011764898482933642
1964-07-31,r_debtiss,0.0
1964-07-31,r_repurch,0.0
1964-07-31,r_nissa,0.042321661749899285
1964-07-31,r_accruals,0.06827229385275331
1964-07-31,r_growth,0.011457596819239557
1964-07-31,r_aturnover,-0.18393249433083192
1964-07-31,r_gmargins,0.22253313894900206
1964-07-31,r_divp,-0.025855937928738044
1964-07-31,r_ep,-0.06370327362554715
1964-07-31,r_cfp,-0.1226183703347791
1964-07-31,r_noa,-0.1448712801400746
1964-07-31,r_inv,-0.021953328983773793
1964-07-31,r_invcap,0.03078861539751192
1964-07-31,r_igrowth,0.11431197532763611
1964-07-31,r_sgrowth,0.053252375313420905
1964-07-31,r_lev,-0.060901054568829306
1964-07-31,r_roaa,0.013585504018777363
1964-07-31,r_roea,0.10271991381436928
1964-07-31,r_sp,-0.2020292863535595
1964-07-31,r_gltnoa,0.3295634219778421
1964-07-31,r_divg,0.0794514796559091
1964-07-31,r_invaci,0.0
1964-07-31,r_shortint,0.0
1964-07-31,r_lrrev,0.005290127821553284
1964-07-31,r_valuem,-0.030315655398438703
1964-07-31,r_nissm,0.02760412361561689
1964-07-31,r_sue,0.0
1964-07-31,r_roe,0.0
1964-07-31,r_rome,0.0
1964-07-31,r_roa,0.0
1964-07-31,r_strev,-0.06096043430903289
1964-07-31,r_ivol,-0.12463827581179307
1964-07-31,r_betaarb,-0.08528081655746025
