Month,Cluster_ID,Factors
1963-12-31,1,"[ 0.21678925 -0.19637276 -0.21771969  0.34748444 -0.46713463  0.21707349
  0.          0.         -0.30298121  0.40442362  0.05031264 -0.6042441
  0.68428445 -0.08903962  0.07227493 -0.21438662  0.6347957   0.
 -0.27576761  0.          0.         -0.36182818  0.46057474  0.43745383
 -0.71804602  0.          0.36626014  0.          0.          0.42737999
 -0.29818744 -0.23949473  0.          0.          0.          0.
  0.         -0.3680163  -0.43905166  0.25109034  0.          0.38317374
 -0.10629707  0.25918642  0.20124344 -0.57234085  0.        ]"
1963-12-31,0,"[ 0.242868   -0.34174332  0.19903154  0.39239998 -0.11885379  0.
  0.          0.          0.24015439  0.          0.25455076 -0.09002715
  0.39507047 -0.30943558 -0.13047519 -0.22601022  0.22049557  0.14366182
  0.08475887 -0.1671436   0.3407001  -0.31603787  0.40340362  0.48125476
 -0.24844613  0.          0.17149716  0.          0.          0.28162821
 -0.25018147  0.24871052  0.          0.          0.          0.
 -0.05065373 -0.22324362 -0.08752266  0.05288526 -0.05262347 -0.16291811
  0.          0.25691799  0.19327742 -0.18601538  0.        ]"
1963-12-31,2,"[ 0.27430735  0.42771412 -0.4405293  -0.56743482  0.          0.23105296
  0.          0.         -0.1553963  -0.44785802 -0.41784352 -0.34109013
 -0.16263527  0.22347445  0.15328984  0.36746505  0.42281156 -0.31040878
 -0.34959997 -0.05813523 -0.34454854  0.36225669 -0.42436935 -0.72717874
  0.09090875  0.         -0.3960874   0.          0.         -0.1301384
  0.36817829 -0.11449142  0.          0.          0.          0.
  0.05246324 -0.2486834  -0.10609561  0.28227599  0.07792614 -0.05283877
 -0.26661676  0.21009845  0.17725361 -0.17683313  0.        ]"
1963-12-31,2,"[-0.36687325  0.          0.41996523  0.          0.53998178 -0.75474347
  0.          0.          0.40757908  0.07112988  0.          0.
  0.33857365 -0.13408004 -0.66081161 -0.1817355  -0.77622402  0.23796796
  0.4119751  -0.41747742  0.08185874  0.         -0.42731944 -0.3688788
  0.          0.         -0.0591147   0.          0.         -0.64930893
  0.1044412  -0.23153942  0.          0.          0.          0.
 -0.38764348  1.01383584  0.6753049  -0.1457118  -0.44387328  0.
  0.49895526 -1.07944043 -0.45922158  0.97828014  0.        ]"
1964-01-31,2,"[ 0.33608658 -0.65161322  0.36319234  0.86048021 -0.27589035  0.36363917
  0.          0.          0.11912568  0.19478217  0.42058556 -0.24704093
  1.17815937 -0.76253446 -0.26322705 -0.33915418 -0.36427025  0.31345278
  0.29935384  0.08337279  0.32757991 -0.38858912  0.53107035  0.96925734
 -0.60253739  0.          0.97290378  0.          0.          0.8434868
 -0.70193786  0.16699305  0.          0.          0.          0.
  0.14919176 -0.06889466 -0.07768681 -0.42680793  0.18060898  0.25985135
  0.31174405  0.55708337  0.27193464 -0.12951086  0.        ]"
1964-01-31,2,"[ 0.          0.74510311 -0.73251894 -0.74967139  0.05536351  0.21544218
  0.          0.         -0.41591197 -0.51826514 -0.51064035 -0.52367162
 -0.38059119  0.44071679  0.57520016  0.76302245  0.4592067  -0.06448189
 -0.57617125  0.         -0.08131323  0.5582205  -0.47628076 -0.86379533
  0.22862418  0.         -1.07880786  0.          0.         -0.3696943
  0.53486173 -0.5126253   0.          0.          0.          0.
  0.24441582 -0.30260832 -0.16738616  0.39164453  0.06937078 -0.25974531
 -0.36594616  0.05525119  0.38873839 -0.26514094  0.        ]"
1964-01-31,3,"[-1.51477752  1.48504926 -0.05356186 -1.299899    1.73715635 -0.80201493
  0.          0.         -0.39429336 -1.34322256 -0.78679976  0.05589471
 -1.31628236  0.78544059  0.26542044  1.16303515  0.13486317 -0.5339989
 -0.61228649 -1.31126474  0.          1.22492434 -1.73859672 -2.10787406
  1.34188938  0.         -1.36719167  0.          0.         -2.74269912
  1.55443816 -1.32396814  0.          0.          0.          0.
 -1.11191748  1.20881993  0.96031484  0.15207025 -1.14814265 -2.75761129
  0.94325813 -2.32627237 -0.2980436   1.31005407  0.        ]"
1964-01-31,1,"[ 0.13689242 -0.21128232  0.19104778  0.17290003 -0.06819204  0.23465416
  0.          0.          0.06643103  0.          0.          0.20856339
  0.12532845 -0.224765   -0.10676958 -0.24111956 -0.18004152 -0.06737622
  0.          0.26870613  0.         -0.25269506  0.43526972  0.2594472
 -0.1363866   0.          0.40941725  0.          0.          0.15512131
 -0.22603101  0.22743001  0.          0.          0.          0.
 -0.13769158 -0.0856786   0.          0.11640879 -0.14660657  0.
  0.          0.11089073  0.15831287  0.          0.        ]"
1964-02-29,3,"[ 0.11392699  0.          0.          0.13218895  0.0733328   0.09680422
  0.          0.         -0.09966143  0.18279182  0.08156495  0.08109996
 -0.06527382  0.          0.1474985   0.         -0.14856927  0.08341493
  0.          0.37337429  0.07572801 -0.11226825  0.2517326   0.11334057
  0.          0.         -0.21374582  0.          0.         -0.16525283
  0.         -0.25643244  0.          0.          0.          0.
  0.10426766 -0.10274548 -0.05492484 -0.17619024  0.17653389 -0.10563849
 -0.06864905 -0.06719416  0.13680876 -0.14145202  0.        ]"
1964-02-29,0,"[-0.22814667  0.27504961  0.         -0.2120617   0.2841649  -0.09135549
  0.          0.          0.         -0.26694554 -0.15286604  0.0617214
 -0.175744    0.          0.13000864  0.35897947 -0.34209993 -0.28237096
 -0.14391371 -0.45959999  0.05654725  0.34634108 -0.328284   -0.26081487
  0.36094528  0.         -0.15729974  0.          0.          0.
  0.07007869  0.3460384   0.          0.          0.          0.
  0.23358513  0.28160226  0.21027506  0.16667277  0.38285573  0.
  0.          0.11699591  0.16271135  0.30324112  0.        ]"
